customerinstallationid,hostname,machinetypecode
9539,riverbed-technology-eae01.m1phx1.jivehosted.com,eaeservice
9539,riverbed-technology-eaedb.m1phx1.jivehosted.com,dbeae
9539,riverbed-technology-db.m1phx1.jivehosted.com,dbvirtual
9539,riverbed-technology-wa02.m1phx1.jivehosted.com,webapp
9539,riverbed-technology-wa01.m1phx1.jivehosted.com,webapp
9539,riverbed-technology-cs01.m1phx1.jivehosted.com,cache
9540,riverbed-technology-uat-db.m1phx1.jivehosted.com,dbvirtual
9540,riverbed-technology-uat-wa01.m1phx1.jivehosted.com,webapp
9540,riverbed-technology-uat-cs01.m1phx1.jivehosted.com,cache
9540,riverbed-technology-uat-eaedb.m1phx1.jivehosted.com,dbeae
9540,riverbed-technology-uat-wa02.m1phx1.jivehosted.com,webapp
9540,riverbed-technology-uat-eae01.m1phx1.jivehosted.com,eaeservice
9542,ebay-sellers-product-pedia-wa01.m1phx1.jivehosted.com,webapp
9542,ebay-sellers-product-pedia-cs01.m1phx1.jivehosted.com,cache
9542,ebay-sellers-product-pedia-eaedb.m1phx1.jivehosted.com,dbeae
9542,ebay-sellers-product-pedia-db.m1phx1.jivehosted.com,dbvirtual
9542,ebay-sellers-product-pedia-wa02.m1phx1.jivehosted.com,webapp
9542,ebay-sellers-product-pedia-eae01.m1phx1.jivehosted.com,eaeservice
9543,ebay-sellers-product-pedia-uat-wa01.m1phx1.jivehosted.com,webapp
9543,ebay-sellers-product-pedia-uat-cs01.m1phx1.jivehosted.com,cache
9543,ebay-sellers-product-pedia-uat-eaedb.m1phx1.jivehosted.com,dbeae
9543,ebay-sellers-product-pedia-uat-db.m1phx1.jivehosted.com,dbvirtual
9543,ebay-sellers-product-pedia-uat-wa02.m1phx1.jivehosted.com,webapp
9543,ebay-sellers-product-pedia-uat-eae01.m1phx1.jivehosted.com,eaeservice
9544,huntsman-corporation-wa02.m1phx1.jivehosted.com,webapp
9544,huntsman-corporation-wa01.m1phx1.jivehosted.com,webapp
9544,huntsman-corporation-cs01.m1phx1.jivehosted.com,cache
9544,huntsman-corporation-db.m1phx1.jivehosted.com,dbvirtual
9544,huntsman-corporation-eae01.m1phx1.jivehosted.com,eaeservice
9544,huntsman-corporation-eaedb.m1phx1.jivehosted.com,dbeae
9545,huntsman-corporation-uat-wa02.m1phx1.jivehosted.com,webapp
9545,huntsman-corporation-uat-db.m1phx1.jivehosted.com,dbvirtual
9545,huntsman-corporation-uat-eaedb.m1phx1.jivehosted.com,dbeae
9545,huntsman-corporation-uat-eae01.m1phx1.jivehosted.com,eaeservice
9545,huntsman-corporation-uat-wa01.m1phx1.jivehosted.com,webapp
9545,huntsman-corporation-uat-cs01.m1phx1.jivehosted.com,cache
9546,verizon-commblu-cs01.m1phx1.jivehosted.com,cache
9546,verizon-commblu-eae01.m1phx1.jivehosted.com,eaeservice
9546,verizon-commblu-wa01.m1phx1.jivehosted.com,webapp
9546,verizon-commblu-wa02.m1phx1.jivehosted.com,webapp
9546,verizon-commblu-db.m1phx1.jivehosted.com,dbvirtual
9546,verizon-commblu-eaedb.m1phx1.jivehosted.com,dbeae
9547,verizon-commblu-uat-cs01.m1phx1.jivehosted.com,cache
9547,verizon-commblu-uat-wa02.m1phx1.jivehosted.com,webapp
9547,verizon-commblu-uat-wa01.m1phx1.jivehosted.com,webapp
9547,verizon-commblu-uat-eae01.m1phx1.jivehosted.com,eaeservice
9547,verizon-commblu-uat-eaedb.m1phx1.jivehosted.com,dbeae
9547,verizon-commblu-uat-db.m1phx1.jivehosted.com,dbvirtual
9556,thunder8186.m1phx1.jivehosted.com,thunder
9559,ashworth-college-uat-db.m1phx1.jivehosted.com,dbvirtual
9559,ashworth-college-uat-cs01.m1phx1.jivehosted.com,cache
9559,ashworth-college-uat-wa01.m1phx1.jivehosted.com,webapp
9559,ashworth-college-uat-wa02.m1phx1.jivehosted.com,webapp
9560,qualys-inc-external-uat-wa02.m1phx1.jivehosted.com,webapp
9560,qualys-inc-external-uat-wa01.m1phx1.jivehosted.com,webapp
9560,qualys-inc-external-uat-cs01.m1phx1.jivehosted.com,cache
9560,qualys-inc-external-uat-db.m1phx1.jivehosted.com,dbvirtual
9562,mcafee-int-vm-uat-wa02.m2phx1.jivehosted.com,webapp
9562,mcafee-int-vm-uat-wa01.m2phx1.jivehosted.com,webapp
9562,mcafee-int-vm-uat-cs01.m2phx1.jivehosted.com,cache
9562,mcafee-int-vm-uat-db.m2phx1.jivehosted.com,dbvirtual
9564,onbrandpartners-uat-db.m1phx1.jivehosted.com,dbvirtual
9564,onbrandpartners-uat-wa02.m1phx1.jivehosted.com,webapp
9564,onbrandpartners-uat-cs01.m1phx1.jivehosted.com,cache
9564,onbrandpartners-uat-wa01.m1phx1.jivehosted.com,webapp
9566,aaancnu-uat-wa01.m2phx1.jivehosted.com,webapp
9566,aaancnu-uat-db.m2phx1.jivehosted.com,dbvirtual
9566,aaancnu-uat-wa02.m2phx1.jivehosted.com,webapp
9566,aaancnu-uat-cs01.m2phx1.jivehosted.com,cache
9567,rwbaird-vm-eaedb.m2phx1.jivehosted.com,dbeae
9567,rwbaird-vm-wa02.m2phx1.jivehosted.com,webapp
9567,rwbaird-vm-wa01.m2phx1.jivehosted.com,webapp
9567,rwbaird-vm-eae01.m2phx1.jivehosted.com,eaeservice
9567,rwbaird-vm-cs01.m2phx1.jivehosted.com,cache
9567,rwbaird-vm-db.m2phx1.jivehosted.com,dbvirtual
9568,aspect-vm-cs01.m2phx1.jivehosted.com,cache
9568,aspect-vm-eae01.m2phx1.jivehosted.com,eaeservice
9568,aspect-vm-wa01.m2phx1.jivehosted.com,webapp
9568,aspect-vm-wa02.m2phx1.jivehosted.com,webapp
9568,aspect-vm-eaedb.m2phx1.jivehosted.com,dbeae
9568,aspect-vm-db.m2phx1.jivehosted.com,dbvirtual
9569,millwardbrown-int-db.m2phx1.jivehosted.com,dbvirtual
9569,millwardbrown-int-eae01.m2phx1.jivehosted.com,eaeservice
9569,millwardbrown-int-wa01.m2phx1.jivehosted.com,webapp
9569,millwardbrown-int-wa02.m2phx1.jivehosted.com,webapp
9569,millwardbrown-int-cs01.m2phx1.jivehosted.com,cache
9569,millwardbrown-int-eaedb.m2phx1.jivehosted.com,dbeae
9570,jiveapps-developer-cs01.m2phx1.jivehosted.com,cache
9570,jiveapps-developer-eae01.m2phx1.jivehosted.com,eaeservice
9570,jiveapps-developer-wa01.m2phx1.jivehosted.com,webapp
9570,jiveapps-developer-db.m2phx1.jivehosted.com,dbvirtual
9570,jiveapps-developer-wa02.m2phx1.jivehosted.com,webapp
9570,jiveapps-developer-eaedb.m2phx1.jivehosted.com,dbeae
9572,accenture-tle-db.m2phx1.jivehosted.com,dbvirtual
9572,accenture-tle-wa01.m2phx1.jivehosted.com,webapp
9572,accenture-tle-wa02.m2phx1.jivehosted.com,webapp
9572,accenture-tle-eae01.m2phx1.jivehosted.com,eaeservice
9572,accenture-tle-cs01.m2phx1.jivehosted.com,cache
9572,accenture-tle-eaedb.m2phx1.jivehosted.com,dbeae
9573,adtran-cs01.m2phx1.jivehosted.com,cache
9573,adtran-eae01.m2phx1.jivehosted.com,eaeservice
9573,adtran-db.m2phx1.jivehosted.com,dbvirtual
9573,adtran-wa01.m2phx1.jivehosted.com,webapp
9573,adtran-wa02.m2phx1.jivehosted.com,webapp
9573,adtran-eaedb.m2phx1.jivehosted.com,dbeae
9574,windriver-int-eaedb.m2phx1.jivehosted.com,dbeae
9574,windriver-int-wa02.m2phx1.jivehosted.com,webapp
9574,windriver-int-wa01.m2phx1.jivehosted.com,webapp
9574,windriver-int-eae01.m2phx1.jivehosted.com,eaeservice
9574,windriver-int-cs01.m2phx1.jivehosted.com,cache
9574,windriver-int-db.m2phx1.jivehosted.com,dbvirtual
9575,jcexternal-wa02.m2phx1.jivehosted.com,webapp
9575,jcexternal-eae01.m2phx1.jivehosted.com,eaeservice
9575,jcexternal-eaedb.m2phx1.jivehosted.com,dbeae
9575,jcexternal-db.m2phx1.jivehosted.com,dbvirtual
9575,jcexternal-wa01.m2phx1.jivehosted.com,webapp
9575,jcexternal-cs01.m2phx1.jivehosted.com,cache
9587,thunder8045.m1phx1.jivehosted.com,thunder
9593,thunder8191.m1phx1.jivehosted.com,thunder
9594,thunder8067.m1phx1.jivehosted.com,thunder
9599,bmc-sdn-vm-uat-wa01.m2phx1.jivehosted.com,webapp
9599,bmc-sdn-vm-uat-wa02.m2phx1.jivehosted.com,webapp
9599,bmc-sdn-vm-uat-db.m2phx1.jivehosted.com,dbvirtual
9599,bmc-sdn-vm-uat-cs01.m2phx1.jivehosted.com,cache
9603,thunder8048.m1phx1.jivehosted.com,thunder
9605,bg-group-uat-wa02.m1ams1.jivehosted.com,webapp
9605,bg-group-uat-db.m1ams1.jivehosted.com,dbvirtual
9605,bg-group-uat-cs01.m1ams1.jivehosted.com,cache
9605,bg-group-uat-eaedb.m1ams1.jivehosted.com,dbeae
9605,bg-group-uat-wa01.m1ams1.jivehosted.com,webapp
9605,bg-group-uat-eae01.m1ams1.jivehosted.com,eaeservice
9619,thunder8863.m1phx1.jivehosted.com,thunder
9641,thunder8057.m1phx1.jivehosted.com,thunder
9645,csc-client-wa01.m2phx1.jivehosted.com,webapp
9645,csc-client-cs01.m2phx1.jivehosted.com,cache
9645,csc-client-wa02.m2phx1.jivehosted.com,webapp
9645,csc-client-db.m2phx1.jivehosted.com,dbvirtual
9650,thunder8111.m1phx1.jivehosted.com,thunder
9651,first-data-bank-cs01.m2phx1.jivehosted.com,cache
9651,first-data-bank-wa01.m2phx1.jivehosted.com,webapp
9651,first-data-bank-eaedb.m2phx1.jivehosted.com,dbeae
9651,first-data-bank-db.m2phx1.jivehosted.com,dbvirtual
9651,first-data-bank-eaedb.m2phx1.jivehosted.com,dbeae
9651,first-data-bank-eae01.m2phx1.jivehosted.com,eaeservice
9651,first-data-bank-wa02.m2phx1.jivehosted.com,webapp
9651,first-data-bank-eae01.m2phx1.jivehosted.com,eaeservice
9651,first-data-bank-eaedb.m2phx1.jivehosted.com,dbeae
9652,first-data-bank-uat-wa02.m2phx1.jivehosted.com,webapp
9652,first-data-bank-uat-eae01.m2phx1.jivehosted.com,eaeservice
9652,first-data-bank-uat-db.m2phx1.jivehosted.com,dbvirtual
9652,first-data-bank-uat-wa01.m2phx1.jivehosted.com,webapp
9652,first-data-bank-uat-eaedb.m2phx1.jivehosted.com,dbeae
9652,first-data-bank-uat-cs01.m2phx1.jivehosted.com,cache
9653,cal-dmv-eae01.m2phx1.jivehosted.com,eaeservice
9653,cal-dmv-eaedb.m2phx1.jivehosted.com,dbeae
9653,cal-dmv-wa02.m2phx1.jivehosted.com,webapp
9653,cal-dmv-wa01.m2phx1.jivehosted.com,webapp
9653,cal-dmv-cs01.m2phx1.jivehosted.com,cache
9653,cal-dmv-db.m2phx1.jivehosted.com,dbvirtual
9655,cal-dmv-uat-eae01.m2phx1.jivehosted.com,eaeservice
9655,cal-dmv-uat-db.m2phx1.jivehosted.com,dbvirtual
9655,cal-dmv-uat-eaedb.m2phx1.jivehosted.com,dbeae
9655,cal-dmv-uat-wa02.m2phx1.jivehosted.com,webapp
9655,cal-dmv-uat-wa01.m2phx1.jivehosted.com,webapp
9655,cal-dmv-uat-cs01.m2phx1.jivehosted.com,cache
9656,f5network-db.m2phx1.jivehosted.com,dbvirtual
9656,f5network-eaedb.m2phx1.jivehosted.com,dbeae
9656,f5network-cs01.m2phx1.jivehosted.com,cache
9656,f5network-wa02.m2phx1.jivehosted.com,webapp
9656,f5network-eae01.m2phx1.jivehosted.com,eaeservice
9656,f5network-wa01.m2phx1.jivehosted.com,webapp
9657,f5network-uat-eae01.m2phx1.jivehosted.com,eaeservice
9657,f5network-uat-cs01.m2phx1.jivehosted.com,cache
9657,f5network-uat-db.m2phx1.jivehosted.com,dbvirtual
9657,f5network-uat-eaedb.m2phx1.jivehosted.com,dbeae
9657,f5network-uat-wa02.m2phx1.jivehosted.com,webapp
9657,f5network-uat-wa01.m2phx1.jivehosted.com,webapp
9720,thunder8149.m1phx1.jivehosted.com,thunder
9753,adobe-uat-vm-cs01.m1phx1.jivehosted.com,cache
9753,adobe-uat-vm-wa01.m1phx1.jivehosted.com,webapp
9753,adobe-uat-vm-wa02.m1phx1.jivehosted.com,webapp
9753,adobe-uat-vm-db.m1phx1.jivehosted.com,dbvirtual
9754,juniper-vmuat-wa01.m1phx1.jivehosted.com,webapp
9754,juniper-vmuat-wa02.m1phx1.jivehosted.com,webapp
9754,juniper-vmuat-db.m1phx1.jivehosted.com,dbvirtual
9754,juniper-vmuat-cs01.m1phx1.jivehosted.com,cache
9768,cbre-wa02.m2phx1.jivehosted.com,webapp
9768,cbre-wa01.m2phx1.jivehosted.com,webapp
9768,cbre-eae01.m2phx1.jivehosted.com,eaeservice
9768,cbre-cs01.m2phx1.jivehosted.com,cache
9768,cbre-eaedb.m2phx1.jivehosted.com,dbeae
9768,cbre-db.m2phx1.jivehosted.com,dbvirtual
9769,cbre-uat-wa01.m2phx1.jivehosted.com,webapp
9769,cbre-uat-cs01.m2phx1.jivehosted.com,cache
9769,cbre-uat-eaedb.m2phx1.jivehosted.com,dbeae
9769,cbre-uat-eae01.m2phx1.jivehosted.com,eaeservice
9769,cbre-uat-db.m2phx1.jivehosted.com,dbvirtual
9769,cbre-uat-wa02.m2phx1.jivehosted.com,webapp
9770,k12b2b-eaedb.m2phx1.jivehosted.com,dbeae
9770,k12b2b-eae01.m2phx1.jivehosted.com,eaeservice
9770,k12b2b-db.m2phx1.jivehosted.com,dbvirtual
9770,k12b2b-cs01.m2phx1.jivehosted.com,cache
9770,k12b2b-wa02.m2phx1.jivehosted.com,webapp
9770,k12b2b-wa01.m2phx1.jivehosted.com,webapp
9771,k12b2b-uat-db.m2phx1.jivehosted.com,dbvirtual
9771,k12b2b-uat-wa02.m2phx1.jivehosted.com,webapp
9771,k12b2b-uat-wa01.m2phx1.jivehosted.com,webapp
9771,k12b2b-uat-eae01.m2phx1.jivehosted.com,eaeservice
9771,k12b2b-uat-cs01.m2phx1.jivehosted.com,cache
9771,k12b2b-uat-eaedb.m2phx1.jivehosted.com,dbeae
9772,copbook-wa01.m2phx1.jivehosted.com,webapp
9772,copbook-cs01.m2phx1.jivehosted.com,cache
9772,copbook-eaedb.m2phx1.jivehosted.com,dbeae
9772,copbook-db.m2phx1.jivehosted.com,dbvirtual
9772,copbook-wa02.m2phx1.jivehosted.com,webapp
9772,copbook-eae01.m2phx1.jivehosted.com,eaeservice
9773,copbook-uat-eaedb.m2phx1.jivehosted.com,dbeae
9773,copbook-uat-eae01.m2phx1.jivehosted.com,eaeservice
9773,copbook-uat-cs01.m2phx1.jivehosted.com,cache
9773,copbook-uat-wa02.m2phx1.jivehosted.com,webapp
9773,copbook-uat-db.m2phx1.jivehosted.com,dbvirtual
9773,copbook-uat-wa01.m2phx1.jivehosted.com,webapp
9776,smart-tech-inc-eaedb.m2phx1.jivehosted.com,dbeae
9776,smart-tech-inc-cs01.m2phx1.jivehosted.com,cache
9776,smart-tech-inc-eae01.m2phx1.jivehosted.com,eaeservice
9776,smart-tech-inc-wa01.m2phx1.jivehosted.com,webapp
9776,smart-tech-inc-wa02.m2phx1.jivehosted.com,webapp
9776,smart-tech-inc-db.m2phx1.jivehosted.com,dbvirtual
9777,smart-tech-inc-uat-eaedb.m2phx1.jivehosted.com,dbeae
9777,smart-tech-inc-uat-wa02.m2phx1.jivehosted.com,webapp
9777,smart-tech-inc-uat-db.m2phx1.jivehosted.com,dbvirtual
9777,smart-tech-inc-uat-wa01.m2phx1.jivehosted.com,webapp
9777,smart-tech-inc-uat-eae01.m2phx1.jivehosted.com,eaeservice
9777,smart-tech-inc-uat-cs01.m2phx1.jivehosted.com,cache
9778,mcafee-int-eaedb.m2phx1.jivehosted.com,dbeae
9778,mcafee-int-wa02.m2phx1.jivehosted.com,webapp
9778,mcafee-int-wa01.m2phx1.jivehosted.com,webapp
9778,mcafee-int-eae01.m2phx1.jivehosted.com,eaeservice
9778,mcafee-int-db.m2phx1.jivehosted.com,dbvirtual
9778,mcafee-int-cs01.m2phx1.jivehosted.com,cache
9779,mcafee-int-uat-wa01.m2phx1.jivehosted.com,webapp
9779,mcafee-int-uat-wa02.m2phx1.jivehosted.com,webapp
9779,mcafee-int-uat-db.m2phx1.jivehosted.com,dbvirtual
9779,mcafee-int-uat-eaedb.m2phx1.jivehosted.com,dbeae
9779,mcafee-int-uat-cs01.m2phx1.jivehosted.com,cache
9779,mcafee-int-uat-eae01.m2phx1.jivehosted.com,eaeservice
9780,leading-re-cs01.m2phx1.jivehosted.com,cache
9780,leading-re-wa02.m2phx1.jivehosted.com,webapp
9780,leading-re-wa01.m2phx1.jivehosted.com,webapp
9780,leading-re-eae01.m2phx1.jivehosted.com,eaeservice
9780,leading-re-eaedb.m2phx1.jivehosted.com,dbeae
9780,leading-re-db.m2phx1.jivehosted.com,dbvirtual
9781,leading-re-uat-db.m2phx1.jivehosted.com,dbvirtual
9781,leading-re-uat-wa02.m2phx1.jivehosted.com,webapp
9781,leading-re-uat-wa01.m2phx1.jivehosted.com,webapp
9781,leading-re-uat-eae01.m2phx1.jivehosted.com,eaeservice
9781,leading-re-uat-cs01.m2phx1.jivehosted.com,cache
9781,leading-re-uat-eaedb.m2phx1.jivehosted.com,dbeae
9799,summits-ext-eaedb.m2phx1.jivehosted.com,dbeae
9799,summits-ext-wa02.m2phx1.jivehosted.com,webapp
9799,summits-ext-cs01.m2phx1.jivehosted.com,cache
9799,summits-ext-eae01.m2phx1.jivehosted.com,eaeservice
9799,summits-ext-wa01.m2phx1.jivehosted.com,webapp
9799,summits-ext-db.m2phx1.jivehosted.com,dbvirtual
9801,umuc-eae01.m2phx1.jivehosted.com,eaeservice
9801,umuc-wa02.m2phx1.jivehosted.com,webapp
9801,umuc-db.m2phx1.jivehosted.com,dbvirtual
9801,umuc-eaedb.m2phx1.jivehosted.com,dbeae
9801,umuc-cs01.m2phx1.jivehosted.com,cache
9801,umuc-wa01.m2phx1.jivehosted.com,webapp
9802,harvardpilgrimhc-eaedb.m2phx1.jivehosted.com,dbeae
9802,harvardpilgrimhc-cs01.m2phx1.jivehosted.com,cache
9802,harvardpilgrimhc-db.m2phx1.jivehosted.com,dbvirtual
9802,harvardpilgrimhc-eae01.m2phx1.jivehosted.com,eaeservice
9802,harvardpilgrimhc-wa01.m2phx1.jivehosted.com,webapp
9802,harvardpilgrimhc-wa02.m2phx1.jivehosted.com,webapp
9803,saphana-eae01.m2phx1.jivehosted.com,eaeservice
9803,saphana-wa02.m2phx1.jivehosted.com,webapp
9803,saphana-wa01.m2phx1.jivehosted.com,webapp
9803,saphana-cs01.m2phx1.jivehosted.com,cache
9803,saphana-eaedb.m2phx1.jivehosted.com,dbeae
9803,saphana-db.m2phx1.jivehosted.com,dbvirtual
9804,goodtech-wa01.m2phx1.jivehosted.com,webapp
9804,goodtech-eae01.m2phx1.jivehosted.com,eaeservice
9804,goodtech-db.m2phx1.jivehosted.com,dbvirtual
9804,goodtech-cs01.m2phx1.jivehosted.com,cache
9804,goodtech-wa02.m2phx1.jivehosted.com,webapp
9804,goodtech-eaedb.m2phx1.jivehosted.com,dbeae
9806,goodtech-internal-cs01.m2phx1.jivehosted.com,cache
9806,goodtech-internal-wa02.m2phx1.jivehosted.com,webapp
9806,goodtech-internal-eaedb.m2phx1.jivehosted.com,dbeae
9806,goodtech-internal-wa01.m2phx1.jivehosted.com,webapp
9806,goodtech-internal-eae01.m2phx1.jivehosted.com,eaeservice
9806,goodtech-internal-db.m2phx1.jivehosted.com,dbvirtual
9891,thunder9800.m1phx1.jivehosted.com,thunder
9894,thunder10653.m1phx1.jivehosted.com,thunder
9898,thunder10657.m1phx1.jivehosted.com,thunder
9907,thunder10663.m1phx1.jivehosted.com,thunder
9938,aia-eae01.m1ams1.jivehosted.com,eaeservice
9938,aia-wa01.m1ams1.jivehosted.com,webapp
9938,aia-cs01.m1ams1.jivehosted.com,cache
9938,aia-wa02.m1ams1.jivehosted.com,webapp
9938,aia-eaedb.m1ams1.jivehosted.com,dbeae
9938,aia-db.m1ams1.jivehosted.com,dbvirtual
9940,aia-uat-db.m1ams1.jivehosted.com,dbvirtual
9940,aia-uat-eae01.m1ams1.jivehosted.com,eaeservice
9940,aia-uat-cs01.m1ams1.jivehosted.com,cache
9940,aia-uat-eaedb.m1ams1.jivehosted.com,dbeae
9940,aia-uat-wa01.m1ams1.jivehosted.com,webapp
9940,aia-uat-wa02.m1ams1.jivehosted.com,webapp
9968,thunder9812.m1phx1.jivehosted.com,thunder
9969,thunder9815.m1phx1.jivehosted.com,thunder
9976,yookos-uat1-search01.m1ams1.jivehosted.com,dedicatedsearch
9976,yookos-uat1-wa02.m1ams1.jivehosted.com,webapp
9976,yookos-uat1-wa01.m1ams1.jivehosted.com,webapp
9976,yookos-uat1-eae01.m1ams1.jivehosted.com,eaeservice
9976,yookos-uat1-eaedb.m1ams1.jivehosted.com,dbeae
9976,yookos-uat1-cs01.m1ams1.jivehosted.com,cache
9976,yookos-uat1-db.m1ams1.jivehosted.com,dbvirtual
10018,perigen-eaedb.m2phx1.jivehosted.com,dbeae
10018,perigen-wa02.m2phx1.jivehosted.com,webapp
10018,perigen-eae01.m2phx1.jivehosted.com,eaeservice
10018,perigen-db.m2phx1.jivehosted.com,dbvirtual
10018,perigen-cs01.m2phx1.jivehosted.com,cache
10018,perigen-wa01.m2phx1.jivehosted.com,webapp
10019,perigen-uat-cs01.m2phx1.jivehosted.com,cache
10019,perigen-uat-eae01.m2phx1.jivehosted.com,eaeservice
10019,perigen-uat-db.m2phx1.jivehosted.com,dbvirtual
10019,perigen-uat-wa01.m2phx1.jivehosted.com,webapp
10019,perigen-uat-wa02.m2phx1.jivehosted.com,webapp
10019,perigen-uat-eaedb.m2phx1.jivehosted.com,dbeae
10020,lumeris-cs01.m2phx1.jivehosted.com,cache
10020,lumeris-eaedb.m2phx1.jivehosted.com,dbeae
10020,lumeris-db.m2phx1.jivehosted.com,dbvirtual
10020,lumeris-eae01.m2phx1.jivehosted.com,eaeservice
10020,lumeris-wa01.m2phx1.jivehosted.com,webapp
10020,lumeris-wa02.m2phx1.jivehosted.com,webapp
10021,lumeris-uat-wa02.m2phx1.jivehosted.com,webapp
10021,lumeris-uat-db.m2phx1.jivehosted.com,dbvirtual
10021,lumeris-uat-eaedb.m2phx1.jivehosted.com,dbeae
10021,lumeris-uat-cs01.m2phx1.jivehosted.com,cache
10021,lumeris-uat-eae01.m2phx1.jivehosted.com,eaeservice
10021,lumeris-uat-wa01.m2phx1.jivehosted.com,webapp
10022,mandiant-corporation-wa01.m2phx1.jivehosted.com,webapp
10022,mandiant-corporation-db.m2phx1.jivehosted.com,dbvirtual
10022,mandiant-corporation-eaedb.m2phx1.jivehosted.com,dbeae
10022,mandiant-corporation-cs01.m2phx1.jivehosted.com,cache
10022,mandiant-corporation-eae01.m2phx1.jivehosted.com,eaeservice
10022,mandiant-corporation-wa02.m2phx1.jivehosted.com,webapp
10023,mandiant-corporation-uat-wa01.m2phx1.jivehosted.com,webapp
10023,mandiant-corporation-uat-db.m2phx1.jivehosted.com,dbvirtual
10023,mandiant-corporation-uat-eaedb.m2phx1.jivehosted.com,dbeae
10023,mandiant-corporation-uat-cs01.m2phx1.jivehosted.com,cache
10023,mandiant-corporation-uat-eae01.m2phx1.jivehosted.com,eaeservice
10023,mandiant-corporation-uat-wa02.m2phx1.jivehosted.com,webapp
10024,chegg-public-cs01.m2phx1.jivehosted.com,cache
10024,chegg-public-db.m2phx1.jivehosted.com,dbvirtual
10024,chegg-public-eaedb.m2phx1.jivehosted.com,dbeae
10024,chegg-public-eae01.m2phx1.jivehosted.com,eaeservice
10024,chegg-public-wa01.m2phx1.jivehosted.com,webapp
10024,chegg-public-wa02.m2phx1.jivehosted.com,webapp
10025,chegg-public-uat-wa02.m2phx1.jivehosted.com,webapp
10025,chegg-public-uat-db.m2phx1.jivehosted.com,dbvirtual
10025,chegg-public-uat-eaedb.m2phx1.jivehosted.com,dbeae
10025,chegg-public-uat-cs01.m2phx1.jivehosted.com,cache
10025,chegg-public-uat-eae01.m2phx1.jivehosted.com,eaeservice
10025,chegg-public-uat-wa01.m2phx1.jivehosted.com,webapp
10026,chegg-internal-wa01.m2phx1.jivehosted.com,webapp
10026,chegg-internal-db.m2phx1.jivehosted.com,dbvirtual
10026,chegg-internal-eaedb.m2phx1.jivehosted.com,dbeae
10026,chegg-internal-cs01.m2phx1.jivehosted.com,cache
10026,chegg-internal-eae01.m2phx1.jivehosted.com,eaeservice
10026,chegg-internal-wa02.m2phx1.jivehosted.com,webapp
10027,chegg-internal-uat-eae01.m2phx1.jivehosted.com,eaeservice
10027,chegg-internal-uat-db.m2phx1.jivehosted.com,dbvirtual
10027,chegg-internal-uat-eaedb.m2phx1.jivehosted.com,dbeae
10027,chegg-internal-uat-wa02.m2phx1.jivehosted.com,webapp
10027,chegg-internal-uat-cs01.m2phx1.jivehosted.com,cache
10027,chegg-internal-uat-wa01.m2phx1.jivehosted.com,webapp
10028,gehealth-internal-eae01.m2phx1.jivehosted.com,eaeservice
10028,gehealth-internal-db.m2phx1.jivehosted.com,dbvirtual
10028,gehealth-internal-eaedb.m2phx1.jivehosted.com,dbeae
10028,gehealth-internal-cs01.m2phx1.jivehosted.com,cache
10028,gehealth-internal-wa01.m2phx1.jivehosted.com,webapp
10028,gehealth-internal-wa02.m2phx1.jivehosted.com,webapp
10029,gehealth-internal-uat-wa02.m2phx1.jivehosted.com,webapp
10029,gehealth-internal-uat-db.m2phx1.jivehosted.com,dbvirtual
10029,gehealth-internal-uat-eaedb.m2phx1.jivehosted.com,dbeae
10029,gehealth-internal-uat-cs01.m2phx1.jivehosted.com,cache
10029,gehealth-internal-uat-eae01.m2phx1.jivehosted.com,eaeservice
10029,gehealth-internal-uat-wa01.m2phx1.jivehosted.com,webapp
10030,xmatters-external-wa01.m2phx1.jivehosted.com,webapp
10030,xmatters-external-db.m2phx1.jivehosted.com,dbvirtual
10030,xmatters-external-eaedb.m2phx1.jivehosted.com,dbeae
10030,xmatters-external-cs01.m2phx1.jivehosted.com,cache
10030,xmatters-external-eae01.m2phx1.jivehosted.com,eaeservice
10030,xmatters-external-wa02.m2phx1.jivehosted.com,webapp
10031,xmatters-external-uat-wa01.m2phx1.jivehosted.com,webapp
10031,xmatters-external-uat-db.m2phx1.jivehosted.com,dbvirtual
10031,xmatters-external-uat-eaedb.m2phx1.jivehosted.com,dbeae
10031,xmatters-external-uat-cs01.m2phx1.jivehosted.com,cache
10031,xmatters-external-uat-eae01.m2phx1.jivehosted.com,eaeservice
10031,xmatters-external-uat-wa02.m2phx1.jivehosted.com,webapp
10032,synopsys-internal-wa01.m2phx1.jivehosted.com,webapp
10032,synopsys-internal-eaedb.m2phx1.jivehosted.com,dbeae
10032,synopsys-internal-cs01.m2phx1.jivehosted.com,cache
10032,synopsys-internal-eae01.m2phx1.jivehosted.com,eaeservice
10032,synopsys-internal-wa02.m2phx1.jivehosted.com,webapp
10032,synopsys-internal-db.m2phx1.jivehosted.com,dbvirtual
10033,synopsys-internal-uat-db.m2phx1.jivehosted.com,dbvirtual
10033,synopsys-internal-uat-eaedb.m2phx1.jivehosted.com,dbeae
10033,synopsys-internal-uat-cs01.m2phx1.jivehosted.com,cache
10033,synopsys-internal-uat-eae01.m2phx1.jivehosted.com,eaeservice
10033,synopsys-internal-uat-wa01.m2phx1.jivehosted.com,webapp
10033,synopsys-internal-uat-wa02.m2phx1.jivehosted.com,webapp
10034,ubm-smartex-vm-wa02.m2phx1.jivehosted.com,webapp
10034,ubm-smartex-vm-db.m2phx1.jivehosted.com,dbvirtual
